machineID,volt,rotate,pressure,vibration
1,176.217853,418.5040782,113.0779355,45.08768576
2,176.5589132,424.6241621,76.00533247,43.76704852
3,185.4820432,461.2111374,87.45319939,28.21686425
4,169.7108469,463.6467269,95.92987658,38.40037192
5,165.0828994,452.2835762,84.5917221,40.29880253
6,136.8785885,492.0884196,149.003582,22.97328948
7,156.0063913,519.4979051,105.878295,42.52224477
8,159.3793197,409.4192167,111.7357327,44.10403835
1,162.8792229,402.7474896,95.46052538,43.41397268
2,158.2820441,432.3729603,110.9078057,37.26711356
3,179.8185164,519.1661847,109.3186032,37.29072175
4,180.186857,538.763646,92.69191972,44.82682879
5,192.7839953,515.3896733,119.0821374,37.30235906
6,154.3968637,450.4983412,146.8229049,32.15251671
7,216.9135021,510.5411089,106.8316508,52.66732123
8,152.3491534,504.9095338,109.0040269,48.68422118
1,170.9899024,527.3498255,75.23790486,34.17884712
2,168.2420279,454.6296389,97.87700656,39.70946132
3,165.6168026,467.1074817,101.2855804,34.53003475
4,156.8619906,413.8049843,81.50661438,54.35209009
5,159.7020562,512.2940127,90.21253972,44.29500548
6,151.9956949,360.7975149,162.0903146,43.66358807
7,175.1505247,453.6744455,96.96183901,32.39717146
8,196.7514677,363.6782119,108.7766707,38.40074592
1,162.4628333,346.149335,109.2485613,41.12214409
2,180.2803164,438.3910224,84.4404301,40.49044263
3,165.0070129,391.9948715,98.82566859,27.49550731
4,170.282492,416.3034786,96.26530828,37.61305229
5,162.7061617,308.5788546,95.07289842,39.40140557
6,172.8206476,455.9915563,133.6472669,44.90855244
7,168.2682412,488.0033324,102.4978765,37.64548109
8,171.1702678,485.0671474,97.88724721,34.87603485
1,157.6100212,435.376873,111.8866482,25.990511
2,169.7195309,473.0556636,110.3956834,41.22957798
3,138.8981644,488.7641185,102.8000174,44.69821788
4,187.4873324,464.1101598,100.8856452,41.65137116
5,166.1583499,521.1536783,76.8743884,41.02331682
6,181.4694554,428.1380478,119.1046538,40.00901178
7,171.7865801,513.9356589,105.2370396,33.9897413
8,155.3237469,463.0004631,100.9293573,38.32271397
1,172.5048392,430.3233621,95.92704169,35.65501733
2,191.2572471,369.7387918,101.2234509,45.61654258
3,171.1008116,424.2929899,108.1981337,37.54005585
4,152.7430668,454.0447804,103.0710606,35.65515068
5,162.3938326,391.6487663,88.47627039,36.68694802
6,138.199503,436.9005723,135.529745,39.37605815
7,155.4950326,429.4765479,105.940375,41.32855754
8,201.4604026,529.125438,101.1317284,36.94301758
1,156.5560306,499.0716231,111.7556843,42.7539197
2,186.2829772,483.6984163,115.0618633,50.69056106
3,164.0366976,382.6485879,95.68015221,41.32969567
4,189.7088777,451.816796,117.8502559,42.58772152
5,166.8756409,426.4699014,84.66339314,32.35674332
6,165.3903928,475.3448068,151.586367,28.49826658
7,170.0754857,444.2367257,98.18733744,44.14377359
8,137.2103553,446.5550714,119.7347131,38.55402491
1,172.5227808,409.624717,101.0010828,35.48200866
2,179.3671884,450.9439612,94.37801921,38.6848154
3,152.9676194,461.7817306,97.86455847,36.78585488
